我	437881
的	390984
你	314710
是	253964
了	231605
，	149189
-	138053
他	119288
？	110516
在	106533
有	99615
一	95516
。	94576
这	90951
不	86944
个	82361
吗	73602
什么	68687
人	61683
要	60082
?	59944
会	57823
好	54747
就	51643
那	49587
说	46631
她	45568
想	45362
！	43041
知道	42959
能	38724
啊	36369
都	35046
为	34066
去	33983
来	31540
吧	30992
..	30277
还	29635
做	28751
也	28186
《	27985
把	27528
和	26349
怎么	25604
对	24707
很	24085
让	24043
!	23508
到	23064
但	21853
看	21625
着	21358
可以	21343
上	20886
得	20827
呢	20787
事	20735
們	19483
跟	19374
现在	19004
它	18794
只	18684
给	18379
没	18282
下	18225
如果	18078
被	17609
们	16614
过	15593
这里	15335
这样	15118
自己	14202
這	14109
走	13772
点	13551
用	13272
所以	13006
需要	13003
真的	12692
再	12418
因为	12297
天	12283
谁	11979
像	11262
個	11200
已经	10827
次	10723
大	10638
可能	10593
嗎	10507
死	10391
觉得	10343
來	10258
多	10209
这么	10183
家	10147
告诉	10104
但是	10068
快	10040
听	9848
·	9701
年	9641
小	9633
會	9531
从	9388
先生	9235
可	9217
里	9200
时候	9114
.	9100
而	8681
别	8643
}	8575
两	8527
喜欢	8434
哪	8354
起	8214
一起	8204
起来	8195
种	8115
才	8111
之	8108
看到	8068
东西	8018
打	7897
应该	7896
中	7860
等	7839
找	7825
所	7753
这些	7719
行	7552
见	7547
叫	7436
所有	7281
孩子	7272
问题	7186
又	7174
好吧	7129
时间	7103
工作	7085
意思	7079
朋友	6943
开始	6901
說	6859
真	6796
谢谢	6717
找到	6685
错	6678
沒	6642
将	6568
该	6532
然后	6480
-我	6480
吃	6463
一切	6331
嘿	6261
地方	6202
）	6177
者	6163
（	6129
那么	6111
今天	6109
帮	6069
一直	6064
希望	6062
前	5979
哦	5957
》	5926
很好	5891
三	5882
一样	5873
麼	5869
准备	5828
请	5806
為	5763
必须	5728
您	5629
出	5601
非常	5583
成	5574
什麼	5525
大家	5516
地	5498
爸爸	5461
相信	5373
于	5370
位	5331
最	5328
任何	5299
时	5282
世界	5273
发生	5272
住	5233
-你	5187
回来	5173
还是	5160
明白	5138
手	5130
后	5053
杀	5016
事情	5016
当然	5006
一定	5004
之前	4936
离开	4927
那些	4895
几	4894
更	4824
看看	4804
并	4799
新	4758
子	4725
第一	4700
嗯	4646
老	4637
带	4626
樣	4611
美	4568
正	4555
哪里	4548
样	4539
向	4536
的话	4527
那里	4522
以	4521
比	4484
当	4477
与	4418
還	4410
妈妈	4374
月	4350
件	4337
回	4327
出来	4320
为了	4310
钱	4304
很多	4288
干	4251
對	4237
過	4199
安全	4169
等等	4162
边	4154
过来	4122
感觉	4103
肯定	4082
话	4069
开	4065
不好	3978
不过	3909
也许	3902
懂	3882
一些	3882
出去	3878
太	3835
放	3827
号	3812
其他	3800
下来	3799
生活	3710
或	3705
已	3704
如何	3687
喝	3678
电话	3667
而且	3652
发现	3641
抱歉	3628
啦	3604
爱	3572
點	3498
生	3493
：	3448
重要	3414
狗	3403
給	3314
车	3310
问	3294
继续	3280
怎	3280
名字	3277
室	3254
妈	3246
得到	3233
到底	3228
情况	3204
活	3150
女人	3118
关系	3106
我們	3092
可是	3088
处	3073
这儿	3067
現	3059
開	3059
我是	3032
先	3026
名	2981
最后	2958
父亲	2953
过去	2942
晚	2933
時	2933
讓	2925
条	2920
四	2916
担心	2912
自	2908
完全	2900
那样	2877
日	2872
因	2865
场	2863
警察	2841
鬼	2839
女	2837
站	2831
拿	2826
不错	2822
心	2809
救	2806
多少	2803
有点	2800
最好	2772
喂	2772
岁	2758
进	2757
200)	2746
五	2738
计划	2724
接	2718
玩	2713
此	2712
无	2701
話	2696
回家	2695
认识	2689
儿	2688
挺	2682
美国	2679
总	2665
只有	2656
,	2656
听到	2632
性	2624
作	2622
分	2616
高兴	2614
